Chromosome,rsID1,rsID2,Position1,Position2,GeneticDistance_cM
1,chr1_1032388,,1032388,,-1.0
1,chr1_1032388,chr1_1323947,1032388,1323947.0,0.3756929546198733
1,chr1_1323947,chr1_2025441,1323947,2025441.0,1.3720290014423733
1,chr1_2025441,chr1_2623326,2025441,2623326.0,0.8184329542882018
1,chr1_2623326,chr1_3227170,2623326,3227170.0,1.5649637876447873
1,chr1_3227170,chr1_3644858,3227170,3644858.0,1.7504332123552127
1,chr1_3644858,chr1_4235768,3644858,4235768.0,1.3919110000000003
1,chr1_4235768,chr1_4473263,4235768,4473263.0,0.7128680000000003
1,chr1_4473263,chr1_7095222,4473263,7095222.0,5.932813897435896
1,chr1_7095222,chr1_8228694,7095222,8228694.0,2.115995985246588
1,chr1_8228694,chr1_9139627,8228694,9139627.0,1.2270551173175157
1,chr1_9139627,chr1_10004882,9139627,10004882.0,1.792255555063786
1,chr1_10004882,chr1_11252716,10004882,11252716.0,1.9478985972297949
1,chr1_11252716,chr1_11839435,11252716,11839435.0,1.2126123120542474
1,chr1_11839435,chr1_14197525,11839435,14197525.0,4.649013640915328
1,chr1_14197525,chr1_15459546,14197525,15459546.0,3.5734701127107016
1,chr1_15459546,chr1_16451413,15459546,16451413.0,1.4840887820261415
1,chr1_16451413,chr1_16869901,16451413,16869901.0,0.4175005361186024
1,chr1_16869901,chr1_17062016,16869901,17062016.0,0.5019722661285897
1,chr1_17062016,chr1_19308155,17062016,19308155.0,6.371502954094083
1,chr1_19308155,chr1_19903728,19308155,19903728.0,0.4990882436587256
1,chr1_19903728,chr1_20586380,19903728,20586380.0,1.8209404167852057
1,chr1_20586380,chr1_21143733,20586380,21143733.0,0.940888815821431
1,chr1_21143733,chr1_21307744,21143733,21307744.0,0.011493341697686787
1,chr1_21307744,chr1_21830340,21307744,21830340.0,0.41497836292348467
1,chr1_21830340,chr1_24861049,21830340,24861049.0,3.9391664329611302
1,chr1_24861049,chr1_25876340,24861049,25876340.0,1.5094751600032836
1,chr1_25876340,chr1_28088583,25876340,28088583.0,1.646474469807778
1,chr1_28088583,chr1_28555426,28088583,28555426.0,0.2744349999999969
1,chr1_28555426,chr1_29491088,28555426,29491088.0,0.2759450000000001
1,chr1_29491088,chr1_29644184,29491088,29644184.0,0.12908970000000153
1,chr1_29644184,chr1_30064687,29644184,30064687.0,0.9209982077353231
1,chr1_30064687,chr1_30525681,30064687,30525681.0,0.7391038392526283
1,chr1_30525681,chr1_30773656,30525681,30773656.0,0.5570272530120519
1,chr1_30773656,chr1_31255905,30773656,31255905.0,1.1608759999999947
1,chr1_31255905,chr1_32241227,31255905,32241227.0,1.0798841960784316
1,chr1_32241227,chr1_33538614,32241227,33538614.0,0.6153728067795257
1,chr1_33538614,chr1_34141355,33538614,34141355.0,0.6519653762803728
1,chr1_34141355,chr1_34277722,34141355,34277722.0,0.48402962086167634
1,chr1_34277722,chr1_34486225,34277722,34486225.0,0.5477189999999936
1,chr1_34486225,chr1_35242436,34486225,35242436.0,1.508610689673624
1,chr1_35242436,chr1_36851843,35242436,36851843.0,0.975505224415727
1,chr1_36851843,chr1_37584326,36851843,37584326.0,2.0387990859106466
1,chr1_37584326,chr1_40152676,37584326,40152676.0,3.604089000000002
1,chr1_40152676,chr1_40447053,40152676,40447053.0,0.6140522949826988
1,chr1_40447053,chr1_40987301,40447053,40987301.0,0.6018202914195712
1,chr1_40987301,chr1_42606766,40987301,42606766.0,1.532143413597737
1,chr1_42606766,chr1_42757030,42606766,42757030.0,0.038083999999997786
1,chr1_42757030,chr1_46647972,42757030,46647972.0,2.3856140885267934
1,chr1_46647972,chr1_47386720,46647972,47386720.0,0.6449180972509794
1,chr1_47386720,chr1_49127598,47386720,49127598.0,1.9678498142222196
1,chr1_49127598,chr1_52190145,49127598,52190145.0,0.81216118363173
1,chr1_52190145,chr1_53568099,52190145,53568099.0,0.4571813914481453
1,chr1_53568099,chr1_53845440,53568099,53845440.0,0.6562044249201335
1,chr1_53845440,chr1_54956262,53845440,54956262.0,1.6547271768707361
1,chr1_54956262,chr1_56787384,54956262,56787384.0,2.533964823129267
1,chr1_56787384,chr1_57627874,56787384,57627874.0,1.8825892782608662
1,chr1_57627874,chr1_57767050,57627874,57767050.0,0.09905772173912908
1,chr1_57767050,chr1_58413084,57767050,58413084.0,0.9001627727272705
1,chr1_58413084,chr1_58853266,58413084,58853266.0,0.583914363363462
1,chr1_58853266,chr1_62607616,58853266,62607616.0,5.721465602513916
1,chr1_62607616,chr1_63042126,62607616,63042126.0,0.7348393837677207
1,chr1_63042126,chr1_63285033,63042126,63285033.0,0.055455877627636596
1,chr1_63285033,chr1_64029606,63285033,64029606.0,1.1622239999999948
1,chr1_64029606,chr1_64647608,64029606,64647608.0,1.3390969999999953
1,chr1_64647608,chr1_64793352,64647608,64793352.0,0.0689540944206044
1,chr1_64793352,chr1_65723174,64793352,65723174.0,1.4933599055793962
1,chr1_65723174,chr1_66129646,65723174,66129646.0,0.33031397599999934
1,chr1_66129646,chr1_66805270,66129646,66805270.0,0.5663820240000064
1,chr1_66805270,chr1_67003458,66805270,67003458.0,0.27423736363635953
1,chr1_67003458,chr1_67287174,67003458,67287174.0,0.2097326363636398
1,chr1_67287174,chr1_67675883,67287174,67675883.0,0.42779945309882805
1,chr1_67675883,chr1_68473073,67675883,68473073.0,1.0069338523150293
1,chr1_68473073,chr1_69786186,68473073,69786186.0,1.4269316945861448
1,chr1_69786186,chr1_72479322,69786186,72479322.0,1.9581109206145868
1,chr1_72479322,chr1_73106029,72479322,73106029.0,0.3275410793854121
1,chr1_73106029,chr1_73180606,73106029,73180606.0,0.006804058007560343
1,chr1_73180606,chr1_73322657,73180606,73322657.0,0.03962994199243042
1,chr1_73322657,chr1_73763426,73322657,73763426.0,0.040120646846844465
1,chr1_73763426,chr1_73837417,73763426,73837417.0,0.003626083735682073
1,chr1_73837417,chr1_74474583,73837417,74474583.0,0.43443426941747987
1,chr1_74474583,chr1_74699099,74474583,74699099.0,0.01973999999999876
1,chr1_74699099,chr1_76689130,74699099,76689130.0,1.5368938264150955
